"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36","18","0.1uF","","","","Basic:CAP1608m",""
"C37,C38","2","10uF","","","","Basic:CAP1608m",""
"CN1","1","10220-55G3PC","","","","Connector:10220-55G3PC",""
"CN2","1","B4B-XH-A","","","","Connector:B4B-XH-A",""
"D1","1","RB496EATR","","","","Discrete:RB496EATR","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rb496eatr-e.pdf"
"D2,D3,D4,D5,D6,D7,D8,D9,D10","9","1SS226","","","","Discrete:1SS226",""
"J1","1","CONBNC002","","","","Connector:CONBNC002",""
"JP1","1","","","","","Jumper:PAD_Short",""
"MH1","1","","","","","PcbObject:HOLE_M3",""
"PS1","1","MGS151205","","","","PowerSupply:MGS151205","https://en.cosel.co.jp/tool/tag/pdf/SFE_MG15-80.pdf"
"R2,R4","2","Value","","","","Basic:REG1608m",""
"R3,R5","2","2.2k","","","","Basic:REG1608m",""
"SW2","1","TL1105SF160Q","","","","Switch:TL1105SF160Q",""
"U1,U2,U3,U4,U5,U6,U7,U8,U9","9","SN74LV1T34DBVR","","","","Logic:SN74LV1T34DBVR",""
"U10","1","SC0915","","","","IC:SC0915",""
